gene,disease_mean,control_mean,fold_change,log2fc,t_statistic,p_value,cohens_d,disease_n,control_n,p_adjusted,significant,highly_significant,category
TRIM53P,1.49254302776,3.560971137736842,-2.068428109976842,-2.068428109976842,-8.62167921773172,1.808876963115718e-13,-2.2143606479976636,75,19,2.590033522418152e-10,True,True,Highly Significant + Large Effect
ENPP3,3.874372685893333,5.544635323789473,-1.67026263789614,-1.67026263789614,-8.502355714164676,3.2177841257812385e-13,-2.1837140345007646,75,19,4.2782738369494267e-10,True,True,Highly Significant + Large Effect
CPA3,6.689134014106667,8.944302205052631,-2.255168190945964,-2.255168190945964,-8.462647139641133,3.896998506129712e-13,-2.1735154290327974,75,19,4.835915346206563e-10,True,True,Highly Significant + Large Effect
UGT2B7,1.5960464781333334,3.2143756348421055,-1.618329156708772,-1.618329156708772,-8.445983763236214,4.223007534233603e-13,-2.1692356682063987,75,19,4.912941390139018e-10,True,True,Highly Significant + Large Effect
NRCAM,2.9210030518,4.9364890222631574,-2.0154859704631574,-2.0154859704631574,-8.353663329244707,6.588750660098797e-13,-2.145524424622154,75,19,7.214294399239941e-10,True,True,Highly Significant + Large Effect
STAC3,7.399731949826665,6.327765643157895,1.0719663066687701,1.0719663066687701,8.324849871463798,7.569166953375403e-13,2.138124081205112,75,19,7.827359648340542e-10,True,True,Highly Significant + Large Effect
TRIM49,3.4414838023066667,5.838563235263157,-2.3970794329564904,-2.3970794329564904,-8.1762867557824,1.5462467726798621e-12,-2.0999676723663057,75,19,1.5148335487717345e-09,True,True,Highly Significant + Large Effect
ALDH4A1,7.370451676431112,6.707075956649123,0.663375719781989,0.663375719781989,8.103576129966049,2.192055393279813e-12,2.0812929403990257,75,19,2.040145954525522e-09,True,True,Significant
AMD1,12.427514097999998,12.908436586842106,-0.48092248884210775,-0.48092248884210775,-8.044547699902301,2.9091343111076933e-12,-2.06613229369143,75,19,2.5786012412837433e-09,True,True,Significant
MS4A2,5.96113688372,8.513968764157894,-2.5528318804378944,-2.5528318804378944,-8.016176283815351,3.3326824060655426e-12,-2.0588454826509897,75,19,2.819752286659273e-09,True,True,Highly Significant + Large Effect
CCR3,4.261131851417778,5.416529041035088,-1.15539718961731,-1.15539718961731,-7.987609768875787,3.821189199656519e-12,-2.0515085631327454,75,19,3.0925050331481064e-09,True,True,Highly Significant + Large Effect
PTK6,6.395078675773333,5.372441699578948,1.0226369761943852,1.0226369761943852,7.766711613285162,1.0975057287484456e-11,1.9947738864413254,75,19,8.512071514551485e-09,True,True,Highly Significant + Large Effect
ZNF91,9.671007543439998,10.717310561421051,-1.046303017981053,-1.046303017981053,-7.743225722749472,1.2274228746653407e-11,-1.9887418559665133,75,19,9.13889975560826e-09,True,True,Highly Significant + Large Effect
PTAR1,12.1570636384,12.69684646631579,-0.5397828279157899,-0.5397828279157899,-7.7090929669029755,1.4439768392627754e-11,-1.9799753234331823,75,19,1.0337763417706653e-08,True,True,Significant
CACNG6,5.517769588493333,7.840832738631581,-2.323063150138248,-2.323063150138248,-7.6457996145172,1.951008739949936e-11,-1.9637192896300848,75,19,1.3450398772380781e-08,True,True,Highly Significant + Large Effect
CDK5RAP2,10.528370180786668,10.914230634736843,-0.38586045395017443,-0.38586045395017443,-7.501218999456193,3.872760670628546e-11,-1.926585731726892,75,19,2.5745559686814196e-08,True,True,Significant
BANK1,10.552536452373333,11.542332387894737,-0.9897959355214034,-0.9897959355214034,-7.4679112001239005,4.533693604369053e-11,-1.918031078016146,75,19,2.9100059569560533e-08,True,True,Significant
C1orf186,6.390650328213334,7.854086879842106,-1.4634365516287726,-1.4634365516287726,-7.460185760297052,4.702350620200064e-11,-1.9160469042248194,75,19,2.917651814813466e-08,True,True,Highly Significant + Large Effect
TEP1,9.015663552066666,8.463817592026317,0.5518459600403496,0.5518459600403496,7.445371050118821,5.0434137201311926e-11,1.9122419480902075,75,19,2.9569756560093576e-08,True,True,Significant
